iter	Passed	Remaining
0	2	209
1	4	196
2	5	175
3	6	158
4	8	160
5	10	163
6	12	167
7	14	165
8	16	167
9	18	166
10	20	163
11	22	164
12	24	162
13	26	163
14	29	166
15	31	162
16	32	160
17	34	159
18	36	155
19	38	152
20	40	152
21	42	150
22	44	147
23	46	146
24	47	141
25	48	137
26	49	134
27	50	130
28	52	127
29	53	124
30	54	120
31	55	118
32	57	115
33	58	114
34	59	111
35	61	108
36	62	106
37	64	104
38	65	102
39	66	100
40	68	98
41	68	94
42	69	92
43	71	90
44	72	88
45	73	86
46	75	84
47	76	82
48	77	81
49	79	79
50	81	78
51	82	76
52	83	74
53	85	72
54	85	70
55	87	68
56	88	66
57	89	65
58	91	63
59	92	61
60	93	59
61	95	58
62	96	56
63	97	54
64	98	53
65	100	51
66	101	49
67	102	48
68	103	46
69	104	44
70	105	43
71	106	41
72	108	40
73	109	38
74	110	36
75	112	35
76	113	33
77	114	32
78	115	30
79	116	29
80	117	27
81	118	26
82	119	24
83	120	23
84	122	21
85	123	20
86	124	18
87	125	17
88	126	15
89	127	14
90	128	12
91	129	11
92	130	9
93	131	8
94	132	6
95	133	5
96	134	4
97	135	2
98	136	1
99	137	0
