iter	Passed	Remaining
0	145	145733
1	146	73321
2	147	49129
3	148	37050
4	149	29769
5	150	24941
6	151	21488
7	152	18875
8	153	16849
9	153	15233
10	154	13913
11	155	12820
12	156	11886
13	157	11090
14	158	10404
15	159	9801
16	160	9267
17	161	8795
18	162	8370
19	162	7986
20	163	7638
21	164	7323
22	165	7036
23	166	6767
24	167	6518
25	167	6291
26	168	6081
27	169	5885
28	170	5703
29	171	5537
30	172	5383
31	173	5236
32	173	5097
33	174	4970
34	175	4847
35	176	4731
36	177	4621
37	178	4520
38	179	4422
39	180	4332
40	181	4239
41	182	4153
42	182	4072
43	183	3992
44	184	3916
45	185	3847
46	186	3778
47	187	3711
48	188	3649
49	189	3591
50	189	3532
51	190	3477
52	191	3425
53	192	3373
54	193	3323
55	194	3276
56	195	3231
57	196	3185
58	196	3141
59	197	3099
60	198	3059
61	199	3022
62	200	2984
63	201	2948
64	202	2912
65	203	2878
66	204	2843
67	205	2812
68	206	2781
69	207	2750
70	207	2720
71	208	2690
72	209	2660
73	210	2632
74	211	2606
75	212	2579
76	213	2556
77	214	2531
78	215	2507
79	215	2483
80	216	2460
81	217	2436
82	218	2409
83	218	2385
84	219	2363
85	220	2341
86	221	2319
87	221	2299
88	222	2280
89	223	2261
90	224	2241
91	225	2221
92	225	2202
93	226	2183
94	227	2167
95	228	2151
96	229	2135
97	230	2119
98	231	2104
99	232	2088
100	232	2073
101	233	2058
102	234	2043
103	235	2028
104	236	2013
105	237	2000
106	238	1988
107	239	1974
108	239	1960
109	240	1947
110	241	1934
111	242	1921
112	243	1909
113	244	1898
114	245	1887
115	246	1877
116	247	1864
117	247	1853
118	248	1842
119	249	1830
120	250	1821
121	251	1810
122	252	1799
123	253	1789
124	254	1779
125	255	1770
126	256	1760
127	257	1752
128	258	1743
129	259	1735
130	260	1726
131	261	1716
132	261	1707
133	262	1698
134	263	1690
135	264	1681
136	265	1673
137	266	1665
138	267	1657
139	268	1648
140	269	1640
141	269	1631
142	270	1623
143	271	1616
144	272	1608
145	273	1600
146	274	1593
147	275	1586
148	276	1579
149	277	1572
150	278	1565
151	279	1558
152	280	1551
153	281	1544
154	282	1537
155	282	1530
156	283	1524
157	284	1518
158	285	1512
159	286	1505
160	287	1497
161	288	1490
162	288	1483
163	289	1476
164	290	1469
165	291	1462
166	292	1456
167	293	1451
168	293	1445
169	294	1440
170	295	1434
171	296	1429
172	297	1423
173	298	1418
174	299	1412
175	300	1407
176	301	1402
177	302	1397
178	303	1391
179	304	1386
180	305	1381
181	306	1376
182	307	1372
183	308	1366
184	308	1361
185	310	1356
186	310	1351
187	311	1345
188	312	1340
189	313	1335
190	314	1330
191	315	1326
192	316	1322
193	317	1317
194	318	1313
195	319	1309
196	320	1304
197	320	1299
198	321	1295
199	322	1291
200	323	1286
201	324	1281
202	325	1277
203	326	1272
204	327	1268
205	327	1264
206	328	1259
207	329	1255
208	330	1251
209	331	1248
210	332	1244
211	333	1240
212	334	1236
213	335	1233
214	336	1228
215	337	1224
216	338	1220
217	339	1216
218	339	1212
219	340	1208
220	341	1204
221	342	1200
222	343	1197
223	344	1194
224	345	1190
225	346	1186
226	347	1182
227	348	1179
228	349	1175
229	350	1172
230	351	1169
231	352	1165
232	353	1162
233	354	1158
234	354	1155
